type,trade_id,product_id,time,side,price,last_size,sequence,best_bid,best_ask,high_24h,low_24h,volume_24h,volume_30d,open_24h
ticker,44878269,BTC-USD,2018-06-15T20:31:10.952000Z,buy,6446.44000000,0.70300000,6096063576,6446.43,6446.44,6694.56000000,6445.00000000,7250.63097635,239239.34240937,6641.00000000
ticker,44878270,BTC-USD,2018-06-15T20:31:10.952000Z,buy,6446.44000000,0.36570000,6096063578,6446.43,6446.44,6694.56000000,6445.00000000,7250.99667635,239239.70810937,6641.00000000
ticker,44878271,BTC-USD,2018-06-15T20:31:11.201000Z,buy,6446.44000000,0.21430000,6096063710,6446.43,6448.23,6694.56000000,6445.00000000,7251.21097635,239239.92240937,6641.00000000
ticker,44878272,BTC-USD,2018-06-15T20:31:11.418000Z,buy,6448.23000000,0.20000000,6096063867,6448.22,6448.24,6694.56000000,6445.00000000,7251.41097635,239240.12240937,6641.00000000
ticker,44878274,BTC-USD,2018-06-15T20:31:11.418000Z,buy,6448.24000000,0.41110000,6096063871,6448.22,6448.24,6694.56000000,6445.00000000,7251.82207635,239240.53350937,6641.00000000
ticker,44878279,BTC-USD,2018-06-15T20:31:11.418000Z,buy,6448.25000000,0.19987613,6096063881,6448.22,6448.25,6694.56000000,6445.00000000,7252.02195248,239240.7333855,6641.00000000
ticker,44878281,BTC-USD,2018-06-15T20:31:11.621000Z,buy,6449.15000000,1.54917613,6096063944,6448.24,6449.15,6694.56000000,6445.00000000,7253.57112861,239242.28256163,6641.00000000
ticker,44878285,BTC-USD,2018-06-15T20:31:11.770000Z,buy,6450.00000000,0.13893253,6096064101,6449.99,6450,6694.56000000,6445.00000000,7253.71006114,239242.42149416,6641.00000000
ticker,44878287,BTC-USD,2018-06-15T20:31:11.770000Z,buy,6450.00000000,0.09988290,6096064105,6449.99,6450,6694.56000000,6445.00000000,7253.80994404,239242.52137706,6641.00000000
ticker,44878288,BTC-USD,2018-06-15T20:31:11.879000Z,buy,6450.00000000,0.00011710,6096064199,6449.99,6450,6694.56000000,6445.00000000,7253.81006114,239242.52149416,6641.00000000
ticker,44878289,BTC-USD,2018-06-15T20:31:11.879000Z,buy,6450.00000000,0.00142000,6096064201,6449.99,6453.56,6694.56000000,6445.00000000,7253.81148114,239242.52291416,6641.00000000
ticker,44878290,BTC-USD,2018-06-15T20:31:12.697000Z,sell,6453.55000000,0.00318320,6096064486,6453.55,6453.56,6694.56000000,6445.00000000,7253.81466434,239242.52609736,6641.00000000
ticker,44878291,BTC-USD,2018-06-15T20:31:20.050000Z,sell,6453.55000000,0.27557492,6096065312,6453.55,6453.56,6694.56000000,6445.00000000,7254.09023926,239242.80167228,6641.00000000
ticker,44878292,BTC-USD,2018-06-15T20:31:22.217000Z,sell,6453.55000000,0.14830000,6096065672,6453.55,6453.56,6694.56000000,6445.00000000,7254.23853926,239242.94997228,6641.00000000
ticker,44878293,BTC-USD,2018-06-15T20:31:25.252000Z,buy,6453.56000000,0.00209000,6096065950,6453.55,6453.56,6694.56000000,6445.00000000,7254.24062926,239242.95206228,6641.00000000
ticker,44878294,BTC-USD,2018-06-15T20:31:27.187000Z,buy,6453.56000000,0.00199000,6096066337,6453.55,6453.56,6694.56000000,6445.00000000,7254.24261926,239242.95405228,6641.00000000
ticker,44878295,BTC-USD,2018-06-15T20:31:27.187000Z,buy,6453.56000000,0.00105000,6096066339,6453.55,6456.76,6694.56000000,6445.00000000,7254.24366926,239242.95510228,6641.00000000
ticker,44878297,BTC-USD,2018-06-15T20:31:27.187000Z,buy,6456.99000000,0.19948860,6096066343,6453.55,6456.99,6694.56000000,6445.00000000,7254.44315786,239243.15459088,6641.00000000
ticker,44878298,BTC-USD,2018-06-15T20:31:30.871000Z,sell,6457.09000000,0.30000000,6096067257,6457.09,6457.1,6694.56000000,6445.00000000,7254.74315786,239243.45459088,6641.00000000
ticker,44878299,BTC-USD,2018-06-15T20:31:32.400000Z,buy,6457.10000000,0.03088101,6096067461,6457.09,6457.1,6694.56000000,6445.00000000,7254.77403887,239243.48547189,6641.00000000
ticker,44878300,BTC-USD,2018-06-15T20:31:33.799000Z,buy,6457.10000000,0.01200000,6096067682,6457.09,6457.1,6694.56000000,6445.00000000,7254.78603887,239243.49747189,6641.00000000
ticker,44878301,BTC-USD,2018-06-15T20:31:39.982000Z,buy,6457.10000000,0.95711899,6096068328,6457.09,6457.1,6694.56000000,6445.00000000,7255.74315786,239244.45459088,6641.00000000
ticker,44878302,BTC-USD,2018-06-15T20:31:39.982000Z,buy,6457.10000000,0.02500000,6096068330,6457.09,6457.1,6694.56000000,6445.00000000,7255.76815786,239244.47959088,6641.00000000
ticker,44878308,BTC-USD,2018-06-15T20:31:39.982000Z,buy,6457.33000000,0.00200000,6096068342,6457.09,6457.33,6694.56000000,6445.00000000,7255.77015786,239244.48159088,6641.00000000
ticker,44878311,BTC-USD,2018-06-15T20:31:39.982000Z,buy,6457.33000000,0.00189101,6096068348,6457.09,6457.33,6694.56000000,6445.00000000,7255.77204887,239244.48348189,6641.00000000
ticker,44878313,BTC-USD,2018-06-15T20:31:40.011000Z,buy,6457.57000000,0.21869101,6096068367,6457.32,6457.57,6694.56000000,6445.00000000,7255.99073988,239244.7021729,6641.00000000
ticker,44878316,BTC-USD,2018-06-15T20:31:40.262000Z,buy,6459.90000000,1.54692140,6096068496,6459.89,6459.9,6694.56000000,6445.00000000,7257.53766128,239246.2490943,6641.00000000
ticker,44878318,BTC-USD,2018-06-15T20:31:40.502000Z,buy,6459.90000000,1.57076140,6096068690,6461.5,6461.51,6694.56000000,6445.00000000,7259.10842268,239247.8198557,6641.00000000
ticker,44878320,BTC-USD,2018-06-15T20:31:40.737000Z,buy,6461.51000000,9.07770000,6096068841,6461.5,6462.5,6694.56000000,6445.00000000,7268.18612268,239256.8975557,6641.00000000
ticker,44878321,BTC-USD,2018-06-15T20:31:40.796000Z,buy,6462.50000000,0.00200000,6096068889,6462.49,6462.5,6694.56000000,6445.00000000,7268.18812268,239256.8995557,6641.00000000
ticker,44878325,BTC-USD,2018-06-15T20:31:41.105000Z,buy,6463.24000000,0.00307721,6096069101,6463.23,6463.24,6694.56000000,6445.00000000,7268.19119989,239256.90263291,6641.00000000
ticker,44878327,BTC-USD,2018-06-15T20:31:41.176000Z,buy,6463.24000000,0.00176206,6096069132,6463.23,6463.24,6694.56000000,6445.00000000,7268.19296195,239256.90439497,6641.00000000
ticker,44878328,BTC-USD,2018-06-15T20:31:41.345000Z,buy,6463.24000000,0.00015794,6096069175,6463.23,6464.99,6694.56000000,6445.00000000,7268.19311989,239256.90455291,6641.00000000
ticker,44878329,BTC-USD,2018-06-15T20:31:41.702000Z,buy,6464.99000000,0.00200000,6096069318,6464.98,6465.06,6694.56000000,6445.00000000,7287.54210322,239275.88172572,6647.17000000
ticker,44878330,BTC-USD,2018-06-15T20:31:41.745000Z,buy,6465.06000000,6.06000000,6096069336,6464.98,6466.95,6694.56000000,6445.00000000,7293.60210322,239281.94172572,6647.17000000
ticker,44878331,BTC-USD,2018-06-15T20:31:42.152000Z,sell,6466.00000000,0.01861000,6096069525,6466,6467.28,6694.56000000,6445.00000000,7293.62071322,239281.96033572,6647.17000000
ticker,44878332,BTC-USD,2018-06-15T20:31:42.304000Z,buy,6467.28000000,0.31300000,6096069637,6466.87,6467.28,6694.56000000,6445.00000000,7293.93371322,239282.27333572,6647.17000000
ticker,44878333,BTC-USD,2018-06-15T20:31:45.363000Z,sell,6468.74000000,0.14770000,6096070487,6469.03,6469.04,6694.56000000,6445.00000000,7294.08141322,239282.42103572,6647.17000000
ticker,44878334,BTC-USD,2018-06-15T20:31:47.905000Z,buy,6469.04000000,0.00371329,6096070997,6469.03,6469.04,6694.56000000,6445.00000000,7294.08512651,239282.42474901,6647.17000000
ticker,44878336,BTC-USD,2018-06-15T20:31:47.905000Z,buy,6469.39000000,0.05225210,6096071001,6469.03,6469.39,6694.56000000,6445.00000000,7294.13737861,239282.47700111,6647.17000000
ticker,44878337,BTC-USD,2018-06-15T20:31:48.784000Z,buy,6469.39000000,0.54344790,6096071143,6469.38,6470,6694.56000000,6445.00000000,7294.68082651,239283.02044901,6647.17000000
ticker,44878343,BTC-USD,2018-06-15T20:31:48.784000Z,buy,6473.00000000,0.26633446,6096071155,6469.38,6473,6694.56000000,6445.00000000,7294.94716097,239283.28678347,6647.17000000
ticker,44878344,BTC-USD,2018-06-15T20:31:50.580000Z,buy,6473.00000000,0.10000000,6096071688,6472.99,6473,6694.56000000,6445.00000000,7295.04716097,239283.38678347,6647.17000000
ticker,44878345,BTC-USD,2018-06-15T20:31:53.120000Z,sell,6472.99000000,0.09119246,6096072059,6472.99,6473,6694.56000000,6445.00000000,7295.13835343,239283.47797593,6647.17000000
ticker,44878346,BTC-USD,2018-06-15T20:31:57.000000Z,buy,6473.00000000,0.08840000,6096072643,6472.99,6473,6694.56000000,6445.00000000,7295.22675343,239283.56637593,6647.17000000
ticker,44878347,BTC-USD,2018-06-15T20:31:59.444000Z,buy,6473.00000000,0.09249502,6096073163,6472.99,6473,6694.56000000,6445.00000000,7295.31924845,239283.65887095,6647.17000000
ticker,44878350,BTC-USD,2018-06-15T20:32:00.243000Z,buy,6473.00000000,0.09119710,6096073425,6472.99,6473,6694.56000000,6445.00000000,7295.41044555,239283.75006805,6647.17000000
ticker,44878352,BTC-USD,2018-06-15T20:32:00.255000Z,buy,6475.00000000,0.00189710,6096073435,6474.99,6475,6694.56000000,6445.00000000,7295.41234265,239283.75196515,6647.17000000
ticker,44878353,BTC-USD,2018-06-15T20:32:00.392000Z,sell,6474.99000000,0.12000000,6096073475,6474.99,6475,6694.56000000,6445.00000000,7295.53234265,239283.87196515,6647.17000000
ticker,44878357,BTC-USD,2018-06-15T20:32:00.460000Z,buy,6476.00000000,0.00129710,6096073541,6474.99,6476,6694.56000000,6445.00000000,7295.53363975,239283.87326225,6647.17000000
ticker,44878360,BTC-USD,2018-06-15T20:32:05.076000Z,buy,6477.00000000,0.05666477,6096074860,6475.99,6477,6694.56000000,6445.00000000,7295.59030452,239283.92992702,6647.17000000
